title,imdb_id,poster_path,wiki_link
Aandhiyan (1952 film),tt0154106,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Aandhiyan_%281952%29.jpg/220px-Aandhiyan_%281952%29.jpg,https://en.wikipedia.org/wiki/Aandhiyan_(1952_film)
Aangan (1959 film),tt0214402,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/32px-Flag_of_India.svg.png,https://en.wikipedia.org/wiki/Aangan_(1959_film)
Aangan (1973 film),tt0229948,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/Aangan_1973.jpg/220px-Aangan_1973.jpg,https://en.wikipedia.org/wiki/Aangan_(1973_film)
Aangan Ki Kali,tt0178188,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Aangan_Ki_Kali.gif/220px-Aangan_Ki_Kali.gif,https://en.wikipedia.org/wiki/Aangan_Ki_Kali
Aankh Ka Nasha (1956 film),tt0214403,,https://en.wikipedia.org/wiki/Aankh_Ka_Nasha_(1956_film)
Aankh Micholi,tt0950680,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Aankh_Micholi.jpg/220px-Aankh_Micholi.jpg,https://en.wikipedia.org/wiki/Aankh_Micholi
Aankhen (1950 film),tt0214404,,https://en.wikipedia.org/wiki/Aankhen_(1950_film)
Aankhen (1993 film),tt0106204,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aankhen1993.jpg/220px-Aankhen1993.jpg,https://en.wikipedia.org/wiki/Aankhen_(1993_film)
Aankhen (2002 film),tt0306434,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Aankhen_%282002%29.jpg/220px-Aankhen_%282002%29.jpg,https://en.wikipedia.org/wiki/Aankhen_(2002_film)
Aankhon Aankhon Mein,tt0229949,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Aankhon_Aankhon_Mein.jpg/220px-Aankhon_Aankhon_Mein.jpg,https://en.wikipedia.org/wiki/Aankhon_Aankhon_Mein
Aansoo Aur Muskan,tt0178191,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Aansoo_Aur_Muskan.jpg/220px-Aansoo_Aur_Muskan.jpg,https://en.wikipedia.org/wiki/Aansoo_Aur_Muskan
Aansoo Ban Gaye Phool,tt0147812,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Aansoo_Ban_Gaye_Phool.jpg/220px-Aansoo_Ban_Gaye_Phool.jpg,https://en.wikipedia.org/wiki/Aansoo_Ban_Gaye_Phool
